YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-07,WEEKDAY,22,TRAIN,NS28,730,137
2021-07,WEEKENDS/HOLIDAY,22,TRAIN,NS28,387,83
2021-07,WEEKDAY,0,TRAIN,DT10,10,55
2021-07,WEEKENDS/HOLIDAY,0,TRAIN,DT10,3,28
2021-07,WEEKDAY,10,TRAIN,EW16/NE3,14824,21782
2021-07,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,4243,5240
2021-07,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2172,1053
2021-07,WEEKDAY,9,TRAIN,CC14,5257,5103
2021-07,WEEKENDS/HOLIDAY,14,TRAIN,EW27,13965,14661
2021-07,WEEKDAY,14,TRAIN,EW27,22624,29986
2021-07,WEEKDAY,0,TRAIN,NS27/CE2,9,70
2021-07,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,8,40
2021-07,WEEKDAY,18,TRAIN,DT27,18969,7006
2021-07,WEEKENDS/HOLIDAY,18,TRAIN,DT27,2184,1864
2021-07,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1649,1351
2021-07,WEEKDAY,11,TRAIN,NS7,2247,1919
2021-07,WEEKDAY,16,TRAIN,SW4,978,1515
2021-07,WEEKENDS/HOLIDAY,16,TRAIN,SW4,376,525
2021-07,WEEKDAY,10,TRAIN,CC5,1181,3015
2021-07,WEEKENDS/HOLIDAY,10,TRAIN,CC5,643,1301
2021-07,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1071,934
2021-07,WEEKDAY,13,TRAIN,CC23,5988,4840
2021-07,WEEKDAY,22,TRAIN,EW33,826,931
2021-07,WEEKENDS/HOLIDAY,22,TRAIN,EW33,277,469
2021-07,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2687,2537
2021-07,WEEKDAY,14,TRAIN,CC21,5440,6391
2021-07,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,31618,27739
2021-07,WEEKDAY,18,TRAIN,EW24/NS1,127635,84388
2021-07,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2835,2788
2021-07,WEEKDAY,7,TRAIN,NE10,14879,27567
2021-07,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1291,1245
2021-07,WEEKDAY,8,TRAIN,EW22,5647,51823
2021-07,WEEKDAY,7,TRAIN,BP10,9467,3215
2021-07,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1157,530
2021-07,WEEKDAY,15,TRAIN,NE10,12900,10117
2021-07,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4507,4381
2021-07,WEEKDAY,18,TRAIN,EW22,17168,9541
2021-07,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1300,1700
2021-07,WEEKDAY,15,TRAIN,CC25,4190,3247
2021-07,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2754,1672
2021-07,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,4133,8609
2021-07,WEEKDAY,12,TRAIN,CE1/DT16,6343,11666
2021-07,WEEKDAY,10,TRAIN,SW6,2492,1350
2021-07,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1583,662
2021-07,WEEKDAY,17,TRAIN,DT31,6650,9819
2021-07,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2179,2801
2021-07,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1758,1905
