YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-08,WEEKENDS/HOLIDAY,22,TRAIN,NS28,389,79
2021-08,WEEKDAY,22,TRAIN,NS28,593,163
2021-08,WEEKENDS/HOLIDAY,0,TRAIN,DT10,6,23
2021-08,WEEKDAY,0,TRAIN,DT10,10,54
2021-08,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,4060,5112
2021-08,WEEKDAY,10,TRAIN,EW16/NE3,15801,23034
2021-08,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2252,1127
2021-08,WEEKDAY,9,TRAIN,CC14,5643,5308
2021-08,WEEKDAY,14,TRAIN,EW27,24441,30979
2021-08,WEEKENDS/HOLIDAY,14,TRAIN,EW27,13886,14453
2021-08,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,3,43
2021-08,WEEKDAY,0,TRAIN,NS27/CE2,5,75
2021-08,WEEKDAY,18,TRAIN,DT27,20976,7678
2021-08,WEEKENDS/HOLIDAY,18,TRAIN,DT27,2316,1846
2021-08,WEEKDAY,7,TRAIN,BP10,10233,3330
2021-08,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1074,532
2021-08,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4257,4171
2021-08,WEEKDAY,15,TRAIN,NE10,12736,10342
2021-08,WEEKDAY,18,TRAIN,EW22,19131,10297
2021-08,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1288,1843
2021-08,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3058,1577
2021-08,WEEKDAY,15,TRAIN,CC25,4459,3321
2021-08,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,4600,8643
2021-08,WEEKDAY,12,TRAIN,CE1/DT16,7373,12652
2021-08,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1517,643
2021-08,WEEKDAY,10,TRAIN,SW6,3115,1520
2021-08,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2075,2603
2021-08,WEEKDAY,17,TRAIN,DT31,6608,10549
2021-08,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1660,1779
2021-08,WEEKDAY,15,TRAIN,CC14,10911,6121
2021-08,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1529,1393
2021-08,WEEKDAY,11,TRAIN,NS7,2083,1708
2021-08,WEEKENDS/HOLIDAY,16,TRAIN,SW4,364,469
2021-08,WEEKDAY,16,TRAIN,SW4,988,1455
2021-08,WEEKENDS/HOLIDAY,10,TRAIN,CC5,664,1238
2021-08,WEEKDAY,10,TRAIN,CC5,1219,3337
2021-08,WEEKENDS/HOLIDAY,13,TRAIN,CC23,932,968
2021-08,WEEKDAY,13,TRAIN,CC23,5734,5212
2021-08,WEEKDAY,22,TRAIN,EW33,933,777
2021-08,WEEKENDS/HOLIDAY,22,TRAIN,EW33,261,456
2021-08,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2507,2550
2021-08,WEEKDAY,14,TRAIN,CC21,5713,6308
2021-08,WEEKDAY,18,TRAIN,EW24/NS1,136544,90973
2021-08,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,31195,27181
2021-08,WEEKDAY,7,TRAIN,NE10,16918,29064
2021-08,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2716,2586
2021-08,WEEKDAY,8,TRAIN,EW22,6718,35840
2021-08,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1269,1283
2021-08,WEEKENDS/HOLIDAY,0,TRAIN,NS8,184,740
2021-08,WEEKDAY,0,TRAIN,NS8,347,1695
2021-08,WEEKENDS/HOLIDAY,18,TRAIN,NS14,8596,11480
2021-08,WEEKDAY,18,TRAIN,NS14,30724,65085
2021-08,WEEKDAY,12,TRAIN,EW17,15997,16536
2021-08,WEEKENDS/HOLIDAY,12,TRAIN,EW17,8867,8358
2021-08,WEEKDAY,17,TRAIN,DT21,7300,2766
2021-08,WEEKENDS/HOLIDAY,17,TRAIN,DT21,1884,1180
2021-08,WEEKDAY,19,TRAIN,NE12/CC13,21365,32627
2021-08,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,8615,9426
2021-08,WEEKENDS/HOLIDAY,6,TRAIN,EW31,308,1918
2021-08,WEEKDAY,6,TRAIN,EW31,679,9649
2021-08,WEEKDAY,15,TRAIN,EW7,7233,10892
2021-08,WEEKENDS/HOLIDAY,15,TRAIN,EW7,4071,4549
2021-08,WEEKDAY,0,TRAIN,NE17/PTC,158,1444
2021-08,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,107,747
2021-08,WEEKDAY,13,TRAIN,BP12,4230,1321
2021-08,WEEKENDS/HOLIDAY,13,TRAIN,BP12,734,584
2021-08,WEEKDAY,14,TRAIN,NS17/CC15,17285,7477
2021-08,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,5453,2961
2021-08,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,4588,4136
2021-08,WEEKDAY,16,TRAIN,CC10/DT26,10664,9784
2021-08,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1265,705
2021-08,WEEKDAY,6,TRAIN,DT28,9094,6174
2021-08,WEEKENDS/HOLIDAY,5,TRAIN,DT7,20,0
2021-08,WEEKDAY,5,TRAIN,DT7,109,78
2021-08,WEEKDAY,11,TRAIN,PW5,1683,1412
2021-08,WEEKENDS/HOLIDAY,11,TRAIN,PW5,943,670
2021-08,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1208,1724
2021-08,WEEKDAY,18,TRAIN,BP3,3478,8541
2021-08,WEEKDAY,22,TRAIN,CC28,742,2472
2021-08,WEEKENDS/HOLIDAY,22,TRAIN,CC28,414,1076
2021-08,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1202,1103
2021-08,WEEKDAY,13,TRAIN,SW6,3629,4252
2021-08,WEEKDAY,17,TRAIN,NE12/CC13,23392,31519
2021-08,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,10326,11402
2021-08,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,10842,12495
2021-08,WEEKDAY,8,TRAIN,NS21/DT11,49054,63007
2021-08,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,100,778
2021-08,WEEKDAY,0,TRAIN,NE16/STC,254,1642
2021-08,WEEKDAY,21,TRAIN,CC24,10517,1377
2021-08,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2239,858
2021-08,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,18765,21026
2021-08,WEEKDAY,12,TRAIN,EW8/CC9,23731,30215
2021-08,WEEKDAY,20,TRAIN,BP5,1134,1524
2021-08,WEEKENDS/HOLIDAY,20,TRAIN,BP5,464,531
2021-08,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4847,6674
2021-08,WEEKDAY,12,TRAIN,EW15,13926,16371
2021-08,WEEKENDS/HOLIDAY,7,TRAIN,SW4,314,321
2021-08,WEEKDAY,7,TRAIN,SW4,3274,1640
2021-08,WEEKDAY,22,TRAIN,DT33,2284,12057
2021-08,WEEKENDS/HOLIDAY,22,TRAIN,DT33,999,5132
2021-08,WEEKDAY,11,TRAIN,EW24/NS1,25600,44848
2021-08,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,13761,26816
2021-08,WEEKENDS/HOLIDAY,23,TRAIN,CC23,137,52
2021-08,WEEKDAY,23,TRAIN,CC23,605,144
