"SimTime","Bukit Panjang (To Expo)","Cashew (To Expo)","Hillview (To Expo)","Beauty World (To Expo)","King Albert Park (To Expo)","Sixth Avenue (To Expo)","Tan Kah Kee (To Expo)","Botanic Gardens (To Expo)","Stevens (To Expo)","Newton (To Expo)","Little India (To Expo)","Rochor (To Expo)","Bugis (To Expo)","Promenade (To Expo)","Bayfront (To Expo)","Downtown (To Expo)","Telok Ayer (To Expo)","Chinatown (To Expo)","Fort Canning (To Expo)","Bencoolen (To Expo)","Jalan Besar (To Expo)","Bendemeer (To Expo)","Geylang Bahru (To Expo)","Mattar (To Expo)","MacPherson (To Expo)","Ubi (To Expo)","Kaki Bukit (To Expo)","Bedok North (To Expo)","Bedok Reservoir (To Expo)","Tampines West (To Expo)","Tampines (To Expo)","Tampines East (To Expo)","Upper Changi (To Expo)","Expo (To Bukit Panjang)","Upper Changi (To Bukit Panjang)","Tampines East (To Bukit Panjang)","Tampines (To Bukit Panjang)","Tampines West (To Bukit Panjang)","Bedok Reservoir (To Bukit Panjang)","Bedok North (To Bukit Panjang)","Kaki Bukit (To Bukit Panjang)","Ubi (To Bukit Panjang)","MacPherson (To Bukit Panjang)","Mattar (To Bukit Panjang)","Geylang Bahru (To Bukit Panjang)","Bendemeer (To Bukit Panjang)","Jalan Besar (To Bukit Panjang)","Bencoolen (To Bukit Panjang)","Fort Canning (To Bukit Panjang)","Chinatown (To Bukit Panjang)","Telok Ayer (To Bukit Panjang)","Downtown (To Bukit Panjang)","Bayfront (To Bukit Panjang)","Promenade (To Bukit Panjang)","Bugis (To Bukit Panjang)","Rochor (To Bukit Panjang)","Little India (To Bukit Panjang)","Newton (To Bukit Panjang)","Stevens (To Bukit Panjang)","Botanic Gardens (To Bukit Panjang)","Tan Kah Kee (To Bukit Panjang)","Sixth Avenue (To Bukit Panjang)","King Albert Park (To Bukit Panjang)","Beauty World (To Bukit Panjang)","Hillview (To Bukit Panjang)","Cashew (To Bukit Panjang)"
21.4,1.49650850757863,1.49392881006051,1.49114328749455,1.48647692503868,1.48573215274303,1.48142264768531,1.47991941393696,1.47643913787929,1.47360313281147,1.47186208224618,1.46949638040574,1.4688491531558,1.46556116484364,1.46472044206451,1.46326223458306,1.46176657068166,1.46105837419594,1.45954101212118,1.45915548762497,1.45790814315911,1.45772342743602,1.4562333943977,1.45566331107529,1.45443162434626,1.45315839682202,1.453272485699,1.45303518229437,1.45493447294218,1.45736083638167,1.46140670695644,1.46239528474903,1.46119686569762,1.45917206036103,1.49589103205436,1.49423090782586,1.49184544278732,1.48741790420489,1.48652576022239,1.48125006736245,1.47965433409055,1.47791240196206,1.47550481218932,1.47386065462222,1.46857960514813,1.47014877446474,1.46886284531902,1.4676255960762,1.46580697635799,1.46161359501837,1.4649388247073,1.45996970312025,1.46421532759319,1.4631473517357,1.46263111320598,1.46164909852013,1.45524891309928,1.45978128865634,1.45931188268732,1.45882785475777,1.46010752697816,1.46322758758911,1.47790776141442,1.47186487788227,1.48450924223326,1.48513017250681,1.45975182485738
21.4166666666667,1.49570070283754,1.49445780928924,1.49140820937853,1.48727884886949,1.48544600711052,1.48167221141039,1.47914178804788,1.47621403987038,1.47393777141251,1.47262181421336,1.47007739445608,1.46835632512771,1.46563463875024,1.46532562705911,1.46350463074719,1.46101215713102,1.46168096772853,1.45976758217995,1.45923547200059,1.45853785955712,1.45793293323979,1.45553167997834,1.45547499706483,1.45479086349105,1.453889311652,1.45290569504427,1.45258781361881,1.45504613965011,1.45803184424421,1.46178695826508,1.46309868097591,1.46078364871689,1.45930957876865,1.49506119583444,1.49396015319037,1.49131276871913,1.48745365795708,1.48628403581908,1.48156704402075,1.48044748502593,1.47761197143712,1.47500602668961,1.47391175560493,1.4691692541863,1.4703825227764,1.46812272126029,1.46743081142256,1.46614518550368,1.46087677725956,1.46473744241913,1.46017967881366,1.46346589656352,1.46296468957327,1.46298421074983,1.46240446254061,1.45505638277332,1.45933114475316,1.45939004851006,1.45948332194341,1.46027880256186,1.46252301951192,1.47748126201361,1.47142180625738,1.48377975645786,1.48494290510805,1.45986369639351
21.4333333333333,1.49570723193065,1.49417619873709,1.49088793767191,1.48646606428058,1.48518837935673,1.48115193662829,1.47915426250785,1.47677858047561,1.4742132124383,1.47184799449328,1.46977530104147,1.46872810566166,1.46642474603407,1.46500833664788,1.46302615818179,1.46108919757546,1.46135835032842,1.45930937144356,1.45995794668546,1.45818065349991,1.45747893599332,1.45559569757807,1.45611341876035,1.45494818278283,1.45315786190664,1.4527223071555,1.45298356544563,1.45571848715345,1.45763754549669,1.4619151535482,1.46238496859122,1.46064880883074,1.45890068751301,1.49509303400578,1.49370763051761,1.49161949345096,1.48826210035082,1.48683279723166,1.48181987079184,1.47966383208285,1.47740319943122,1.47530393895521,1.47467750955198,1.46884569101018,1.46990268541621,1.46814949643455,1.46804752880285,1.46635886581459,1.46093228269169,1.46534124688583,1.4597230467859,1.46355029532579,1.46356642064144,1.46318351151178,1.46168786047037,1.45573269610862,1.459693092915,1.4601066135595,1.45912244824288,1.45981940705335,1.46260883011631,1.47730709055742,1.47178145481894,1.48386425881078,1.4855814108078,1.45943888944484
21.45,1.49651958454641,1.49390387837628,1.4911533960901,1.48650651578823,1.48574203736232,1.48146179023763,1.47992387687735,1.47649923670285,1.47373166778721,1.47189384706742,1.46956312962514,1.46896981450176,1.46565442424826,1.46479668594401,1.46336498731666,1.4618593620237,1.4611644720073,1.45965023404448,1.45921458597481,1.45799238593093,1.45781667837202,1.45633275458304,1.45576925385174,1.4545276374048,1.45327240024748,1.45335159627915,1.45314604042092,1.45501661303279,1.45746146999228,1.46149149739496,1.46249807014697,1.46129430947449,1.4592854562427,1.49591293239443,1.49424837950679,1.49188642958963,1.48745958129288,1.48655062210998,1.48129377836672,1.47969781515193,1.47797942619081,1.47553417476142,1.47391240955045,1.46866150291177,1.47022319127089,1.46892083214717,1.46772466195964,1.46587836909193,1.46169267505272,1.46500661125104,1.46008596267084,1.46430418619421,1.46320968280958,1.46271912470355,1.46175214260675,1.45537181150256,1.45986136909738,1.45937100404194,1.45897422553118,1.46020082635738,1.46327771886739,1.4779591626222,1.4719094511799,1.48454864140862,1.48513331719788,1.45982711796907
21.4666666666667,1.49570624650186,1.49448181186393,1.49143196266028,1.48732716583575,1.48545613710664,1.48173081484799,1.47914439283871,1.47625609361223,1.47401372977687,1.47268494280187,1.47016747852112,1.46850724444518,1.4657243735469,1.46540445753088,1.46357548761054,1.46110946074911,1.46178094937314,1.45984640892352,1.45932103678229,1.45864820333459,1.45801462579714,1.45560941973208,1.45557185498578,1.4549025217427,1.4540120516912,1.45297653672615,1.4527031634626,1.45512257417423,1.45814556902319,1.46185102881336,1.46317113839986,1.46087923127637,1.45943543932956,1.49509811169395,1.49399437010888,1.49135019972238,1.48746780188415,1.48628050438708,1.48162086263677,1.48049643152842,1.47768346038815,1.47503141431841,1.47396629130556,1.46927007132848,1.47043579217535,1.46816775077415,1.46753377623748,1.46624739510505,1.46096637038201,1.4647996199514,1.46030245832346,1.463566187943,1.46301675693096,1.46307239821961,1.46249150044588,1.45522757676936,1.45939684043517,1.45946148994869,1.45958715652495,1.46035141041238,1.46257454475375,1.47756125548397,1.47147880684198,1.48383173843507,1.48497454534915,1.45998571773578
21.4833333333333,1.49570307536578,1.49424152868662,1.49089167324599,1.48654043151415,1.48520718205339,1.4812115608014,1.47917645715519,1.47682530600482,1.47426174597013,1.4719101250863,1.4699009451544,1.46883749742446,1.46650748463949,1.46509905351067,1.46311662628882,1.46121299993428,1.46144479409507,1.45937607160165,1.46006575409723,1.45831358583805,1.45755267393505,1.45570207314948,1.45620357208259,1.45507818034545,1.45329290423383,1.45282028579947,1.45310687602844,1.45580352335648,1.4577485078883,1.46199131731097,1.46246611142203,1.46073436900737,1.45901290520904,1.49512356884476,1.49373283967221,1.49164167801327,1.48829320930594,1.48683655979935,1.48187686004026,1.47969851458095,1.47747997385921,1.47535502242735,1.47474983875504,1.46897565536857,1.46995417861314,1.46822290550567,1.46813544138977,1.46647658743565,1.46102671057972,1.4654086134352,1.45983422284784,1.46367297199538,1.46366344952662,1.46327453844412,1.461766619168,1.45586967906529,1.45980074636534,1.46018684580138,1.45921992265654,1.45989442032119,1.46267769635152,1.47737003266664,1.47186817292844,1.48391964240805,1.48559945112756,1.45958421950443
21.5,1.49652096503256,1.49397069595876,1.49118697202065,1.48654167675907,1.48576712330678,1.48151133692235,1.47997921410456,1.47656491700241,1.47374712273701,1.47195282195421,1.4696699809119,1.46906704410099,1.46574356573026,1.4648904068789,1.46345147137791,1.46197656648599,1.461244294663,1.45973340137465,1.45933029111232,1.45812918720437,1.45792250720668,1.45644078945629,1.4558368906907,1.45463677954357,1.45340689081948,1.45347810263313,1.45326958454,1.45509835932645,1.45759809996287,1.4615784776206,1.4625988060423,1.46138525647522,1.45939888110083,1.49592926138465,1.49427815951772,1.49189643157279,1.48750492150353,1.48657382442111,1.48135759463661,1.47974945251549,1.47805519469821,1.47561020843008,1.47398649438756,1.46876484952609,1.47027515005409,1.46900108196368,1.46783006840074,1.46599261714225,1.46177950389225,1.46508429125632,1.46017980981445,1.4644210309863,1.46332448935194,1.4628109768668,1.4618458865054,1.45552454484802,1.45998272587114,1.45945899386158,1.45903347200751,1.4603008280043,1.46338397225262,1.47799651771673,1.47200275676648,1.48455963004826,1.48519229582441,1.45995056948869
21.5166666666667,1.49572274313791,1.49450128219156,1.49143495452492,1.48735404187778,1.48546698831003,1.48177103511584,1.47919727351959,1.47632650086217,1.47407335137205,1.47276044134039,1.47024510687228,1.46858696672296,1.46578766960179,1.46546316782676,1.46367635769077,1.46121487133567,1.46183492631336,1.45994296656052,1.4594094537722,1.45877414913266,1.45811377139285,1.4556980739645,1.45567165015706,1.45500066156799,1.45413134291192,1.45310768759468,1.45282474601342,1.45520727198087,1.45828324256382,1.46194094346376,1.46327166629512,1.46095627433286,1.45948512547294,1.49511210798777,1.49396563106901,1.49135048763804,1.48750860467819,1.48631219639262,1.48167732344819,1.48056365546575,1.47776643310319,1.47510301963489,1.47403079926199,1.46935566833359,1.47052433851026,1.46822701830385,1.46761039561035,1.46633712214949,1.4610310906387,1.46488714072325,1.4603608696982,1.46366221436705,1.46314497225065,1.46313560261242,1.46255873024277,1.455356979326,1.45952694206468,1.45956999560506,1.45969183080188,1.46046421730698,1.4626679080503,1.47759653997836,1.47154240833667,1.4838350675444,1.48500303787781,1.46006308278431
21.5333333333333,1.49570909218079,1.49420243920699,1.49091346461526,1.48652313922041,1.4852404502974,1.48127232665134,1.47924137154381,1.47688685485418,1.47434041243583,1.47199099870974,1.46995583368585,1.46889861147715,1.46659758609417,1.46514941017352,1.46319646175294,1.4612941840825,1.46150755063395,1.45948609626194,1.46016627609938,1.45842042827672,1.45766501693574,1.45580086371283,1.45629989881281,1.45518282126518,1.45341023170608,1.45295775283437,1.45317710153472,1.45591301418255,1.45789004674327,1.46204858541864,1.46258526141311,1.46081447715974,1.45906150868408,1.49510877197668,1.49370308968499,1.49164868060088,1.48832255552747,1.48684705777359,1.48191707424942,1.47978738434767,1.47751887226314,1.47542742071612,1.47480200495297,1.46906260149808,1.47001709615332,1.4682947873721,1.46820738172884,1.46655029360025,1.46110816496506,1.46551707351208,1.45989498373583,1.46374604228153,1.46376362883738,1.46331680325476,1.46184731602603,1.45597407834701,1.45990745492474,1.46029231508879,1.45933019308283,1.46001103183156,1.46277792288627,1.47742481365076,1.47193735298345,1.48391014534046,1.48563199751879,1.45962448614127
21.55,1.4964935728742,1.49393761622074,1.49119637675293,1.48658573769722,1.48581272198418,1.48156537293449,1.48003739544751,1.47658061947496,1.47384852951426,1.47205492779564,1.46971762684872,1.4691241827236,1.46584962394138,1.4649436764252,1.46352224461878,1.46208984530679,1.46131913338234,1.45982391393001,1.4594340101421,1.45823763342577,1.45802512316447,1.45654539071999,1.45593135278635,1.45473890005724,1.45349581151652,1.45361610739726,1.45334162960765,1.45518120295363,1.45772568452152,1.46165267578261,1.462688156265,1.46149132413572,1.45947512482551,1.49596605191946,1.49428148225607,1.49193246512823,1.48752724795531,1.48659657696912,1.4813968315146,1.47978890229565,1.47811638336386,1.47568179183348,1.47401343984025,1.4688365680745,1.47031724676434,1.46908137397222,1.46789226023766,1.4660812078922,1.4618704470582,1.46518244041907,1.46026701291109,1.46452619551311,1.46341988778213,1.46287251500113,1.46192702616862,1.45561174248171,1.46006631236317,1.45959040763317,1.45915389266206,1.46038411074789,1.46346965629488,1.47805050716311,1.47207475840748,1.48461595650677,1.48520102677197,1.46002206148255
