"SimTime","Bukit Panjang (To Expo)","Cashew (To Expo)","Hillview (To Expo)","Beauty World (To Expo)","King Albert Park (To Expo)","Sixth Avenue (To Expo)","Tan Kah Kee (To Expo)","Botanic Gardens (To Expo)","Stevens (To Expo)","Newton (To Expo)","Little India (To Expo)","Rochor (To Expo)","Bugis (To Expo)","Promenade (To Expo)","Bayfront (To Expo)","Downtown (To Expo)","Telok Ayer (To Expo)","Chinatown (To Expo)","Fort Canning (To Expo)","Bencoolen (To Expo)","Jalan Besar (To Expo)","Bendemeer (To Expo)","Geylang Bahru (To Expo)","Mattar (To Expo)","MacPherson (To Expo)","Ubi (To Expo)","Kaki Bukit (To Expo)","Bedok North (To Expo)","Bedok Reservoir (To Expo)","Tampines West (To Expo)","Tampines (To Expo)","Tampines East (To Expo)","Upper Changi (To Expo)","Expo (To Bukit Panjang)","Upper Changi (To Bukit Panjang)","Tampines East (To Bukit Panjang)","Tampines (To Bukit Panjang)","Tampines West (To Bukit Panjang)","Bedok Reservoir (To Bukit Panjang)","Bedok North (To Bukit Panjang)","Kaki Bukit (To Bukit Panjang)","Ubi (To Bukit Panjang)","MacPherson (To Bukit Panjang)","Mattar (To Bukit Panjang)","Geylang Bahru (To Bukit Panjang)","Bendemeer (To Bukit Panjang)","Jalan Besar (To Bukit Panjang)","Bencoolen (To Bukit Panjang)","Fort Canning (To Bukit Panjang)","Chinatown (To Bukit Panjang)","Telok Ayer (To Bukit Panjang)","Downtown (To Bukit Panjang)","Bayfront (To Bukit Panjang)","Promenade (To Bukit Panjang)","Bugis (To Bukit Panjang)","Rochor (To Bukit Panjang)","Little India (To Bukit Panjang)","Newton (To Bukit Panjang)","Stevens (To Bukit Panjang)","Botanic Gardens (To Bukit Panjang)","Tan Kah Kee (To Bukit Panjang)","Sixth Avenue (To Bukit Panjang)","King Albert Park (To Bukit Panjang)","Beauty World (To Bukit Panjang)","Hillview (To Bukit Panjang)","Cashew (To Bukit Panjang)"
18.9166666666667,0.995492119914253,0.993156686339513,0.991194738244209,0.987922113688755,0.984000867935412,0.980979219132741,0.979118956274349,0.977877685055912,0.975995198013645,0.974283031409797,0.970856309851397,0.970426404075055,0.969180010244569,0.96821761559916,0.96705918617155,0.96731932638121,0.966814223716531,0.966222342052848,0.967056689607761,0.96651346094871,0.966609918464098,0.966155163579134,0.966059233136224,0.966022520685854,0.965700274483846,0.966550827966283,0.966116037086514,0.964978535900298,0.960071869513112,0.951794552893655,0.953675488806007,0.952523454525698,0.953138495546843,0.99585942916628,0.994079265121825,0.991967178715138,0.988895946253097,0.988225796799245,0.982987634823057,0.98240543865158,0.979975728257994,0.978409957724997,0.975892858866442,0.97039384553895,0.975219063058852,0.974175026232648,0.97278427617008,0.972695708459721,0.966733316186758,0.971875377294578,0.96658247535553,0.974391222799024,0.973262907234489,0.973934420948644,0.973834350176805,0.966106974430847,0.975028506242207,0.976090130926909,0.976320089303032,0.976418729525818,0.972457293930608,0.97506157101117,0.95826782596958,0.966584880167328,0.968663785029134,0.9523270824926
18.9333333333333,0.994620850608369,0.99347176141426,0.990898883515605,0.988841179633024,0.984313221772901,0.981356714294744,0.979987434713256,0.978279474245669,0.975775735344542,0.973522028677714,0.971268947872835,0.970731604205371,0.970000559273633,0.968617349382978,0.966875966622835,0.96659195494344,0.967234956594557,0.966078687566177,0.967895799340697,0.966984811405801,0.966476162904683,0.965469301201244,0.965679460548272,0.966255410621381,0.966467741029676,0.967113371418474,0.966061531329092,0.964312908505801,0.959735925829135,0.95174644107392,0.953008551324955,0.952131160083139,0.953101717560883,0.994992661323169,0.994356389345552,0.991738767777639,0.988021040518527,0.988553400619479,0.982800488119376,0.981583940281761,0.979672919623835,0.978753444349877,0.976710588702171,0.970796914852828,0.975042299745268,0.97342525422279,0.972425978218379,0.972945850638104,0.966019945832507,0.971514717399932,0.96644257969513,0.973659392477066,0.972888864715756,0.974097028707393,0.974589715272724,0.965772827149695,0.97494759474324,0.975396811166864,0.975902199884325,0.976611280282528,0.973201843230793,0.974698297921211,0.958441178921298,0.96596771045686,0.968265824089462,0.952319152909724
18.95,0.995511124392472,0.993149727313154,0.991177930339975,0.988003539881366,0.984025730325477,0.981110244298364,0.979199064012652,0.978027965748403,0.976114295288865,0.974368543360226,0.970947413729565,0.970555557007391,0.969226444599308,0.968324465422828,0.967180108461363,0.967438542843538,0.966858935190174,0.96632412600638,0.967163504902678,0.966662475733181,0.966782988081756,0.966278566414377,0.96617348290948,0.96614295584572,0.965799839862652,0.96669373361888,0.966282995970602,0.965131346054349,0.960189538658764,0.951954768330767,0.953808803051847,0.952685326489292,0.953270131877067,0.995870752934105,0.99404856349962,0.992045978995269,0.988930887297425,0.988267159118049,0.983039600332541,0.9824770775573,0.980040116004428,0.978517338213437,0.975926891667285,0.970491677115527,0.975362890504922,0.974276540606709,0.972909489371579,0.972797129804829,0.966819735540443,0.971916431848343,0.966650083333854,0.974489069023573,0.973365801458609,0.973971336478965,0.973873789561264,0.966197349966287,0.975124905201052,0.976152758049899,0.976450079284096,0.976526642906239,0.972558042429255,0.975145418442757,0.958406094525622,0.966735337765638,0.968785310966866,0.952464877402172
18.9666666666667,0.994623779221444,0.993445181412156,0.99090024337517,0.988875281937224,0.984327360346134,0.981411503570036,0.98001391979374,0.978368689817468,0.975907782524674,0.973567942087667,0.971356120387545,0.97079324350633,0.970132439914769,0.968711230369617,0.966991818665745,0.966680545683427,0.967301424402897,0.966219870230326,0.968016932578834,0.967103893318316,0.966668444973116,0.96554637251513,0.965770664443072,0.966347847222597,0.966600245222074,0.967242640566207,0.966191502119459,0.964473446896866,0.959828919107137,0.951903236613386,0.953222474252057,0.952292080990907,0.953242350754552,0.995003741106374,0.994342599580569,0.991767713759072,0.988125768766537,0.988562432660732,0.982856691147781,0.98169150401143,0.979758712376957,0.978857321398271,0.976790756118743,0.970887141546001,0.975153115313163,0.973492308346602,0.972601374316513,0.973046888502929,0.966126978593571,0.971607439286372,0.966501114248838,0.973746324604784,0.972978877249451,0.974136531592999,0.974715250539557,0.965810329181296,0.975020905988324,0.975428770607876,0.976063698836574,0.976686210525257,0.973266489400973,0.974741341161382,0.958577692262746,0.966071758179879,0.968346624463223,0.952447947066236
18.9833333333333,0.995562368396341,0.99313442778979,0.991244978261042,0.988037772310482,0.984040754851402,0.981141124688189,0.979204908342422,0.978047870273307,0.976197018220276,0.974448775703369,0.97102966846095,0.970617224117574,0.969388330886164,0.968375808411542,0.967285167861301,0.967607389024427,0.966987055430708,0.96641561507422,0.96731100469893,0.966720270347561,0.96687541224315,0.966410536992622,0.966277680229447,0.966257006665784,0.965920029346237,0.966846833266655,0.966425080666593,0.965221702442094,0.960317403359639,0.952103275144137,0.953989326313432,0.95284384044885,0.953400704773418,0.995909708901436,0.994029079516194,0.992067024515166,0.988972289127025,0.988234281421971,0.983135842580893,0.982535361593644,0.980160881214111,0.978582844399243,0.976012799839699,0.970609702303401,0.975423338419436,0.974387919879042,0.9729767810194,0.972874478927179,0.966945311544105,0.971995071719774,0.966771915782525,0.974641900224795,0.973461955741351,0.974010393058052,0.974038462307033,0.966313673897695,0.975195959195779,0.976204415123885,0.976542433589705,0.976571607983263,0.972600170624969,0.975231707350479,0.958531381061602,0.966859314637148,0.968895864540738,0.9526158492826
19,0.994691658177569,0.993435646918173,0.991000790617194,0.988929748036004,0.98440414230444,0.981416531858046,0.980125480482537,0.978349319380541,0.975983030117939,0.97364501151231,0.971476092267567,0.970927648018306,0.970222674772219,0.968821448426067,0.967126523205549,0.966883197099495,0.967485400862616,0.966331414084321,0.968119497690326,0.967225060594978,0.966763261314818,0.965703575390472,0.965938651112582,0.966404529339143,0.966691248800009,0.967390783086573,0.966325617671529,0.964547164747458,0.959901327450143,0.952041464192397,0.95336577867638,0.952455215979973,0.953358930969932,0.995056479534147,0.994339423695588,0.991819297567454,0.988119260682377,0.988579625251985,0.98288089583963,0.981700960083304,0.979854161432544,0.978871546724736,0.976849507319558,0.970940206565764,0.975269903841917,0.973632538288993,0.972655009328873,0.973174121799975,0.966238972415277,0.971695971507825,0.966673627974749,0.973918898741272,0.973097558947784,0.974267449328587,0.974809477140009,0.965952527359524,0.975109135692215,0.975486608686574,0.97613432182116,0.976693970845935,0.973401356645013,0.97483862052183,0.958728337579402,0.966243801860979,0.968486492653379,0.952584346673877
19.0166666666667,0.995820215345199,0.993524082463332,0.991653105062119,0.988337580348543,0.984506321285634,0.981459881264636,0.979576624077427,0.978407374441122,0.976651896413712,0.974805303581718,0.971568256096704,0.971016697775133,0.969721566081845,0.968893346320924,0.967815308159476,0.96802398715454,0.967497366159988,0.966999231704593,0.967653687664202,0.967246837155377,0.967392100493684,0.966802268660392,0.966655085998633,0.966595449794054,0.966272763330661,0.967380327368039,0.966882562258929,0.965692408553509,0.960705734475015,0.952655732016828,0.95446780993246,0.953250401525458,0.95392435349778,0.996175846070971,0.994444763790826,0.992498846072521,0.989298959910457,0.988684807559102,0.983564939065887,0.982903837312965,0.980483971085585,0.978930510758313,0.976327156454044,0.971022774901566,0.975943953817944,0.97476629740489,0.973360107993629,0.973229169335266,0.967310917007663,0.972406648979869,0.967266067303739,0.97502016417057,0.973840390509501,0.974403434229298,0.974368771869399,0.966675400830941,0.975708221849808,0.976571863307011,0.976880120467595,0.976862508022449,0.972974002875761,0.975597516405594,0.958890693167996,0.967245033747163,0.969241588302626,0.953142728704706
19.0333333333333,0.995220442729601,0.993722427037156,0.99149818669045,0.988976138244075,0.98473116802143,0.981782711785472,0.980204303039938,0.978709596458115,0.976499653386321,0.974246448038123,0.971904552368662,0.97135469603126,0.970338236333182,0.969185570059041,0.967672078819631,0.96750035863716,0.967828179343799,0.966878953640645,0.968240112841298,0.967548424258583,0.967296608648391,0.966310915973504,0.966489593985788,0.966871891408252,0.96685326925145,0.967726849645443,0.96681837341747,0.965240766223118,0.960570212341931,0.95262781618172,0.954021483807632,0.953034722605433,0.953931888499155,0.995581093396937,0.994681164102154,0.992278998507298,0.988690871162113,0.988894711313899,0.983424258135056,0.98233684795609,0.980365154885427,0.97923695031503,0.976945758932,0.971279582656406,0.975801926602595,0.974236034796025,0.973261003195262,0.973481479178707,0.966786908054773,0.972248459910311,0.967208275000378,0.97448671787962,0.973669254584733,0.974678846311662,0.974967574937904,0.96651969947312,0.975676125327603,0.976067640395331,0.976699636366577,0.977205369264572,0.97353668875233,0.975408117735518,0.959097594120832,0.966804503333559,0.969063391539323,0.953105005786238
19.05,0.99580134937594,0.993524097329052,0.991673392636281,0.988413594325512,0.984566229275501,0.981597728476286,0.979666803491547,0.978468987130927,0.976728652530693,0.974800181575095,0.9716977657239,0.971234686184712,0.969821285510866,0.968975673059011,0.967867741717337,0.968076276328176,0.967585953240384,0.967077191467398,0.967715492381636,0.967350159835654,0.967442105550551,0.966859073581209,0.966806454804009,0.966813373113088,0.966365913792199,0.967426028668737,0.967000640045675,0.965801286599798,0.960890177602031,0.952735980341416,0.954571195684699,0.953430826866505,0.954066658671904,0.996141422184796,0.994507051204711,0.992485573792586,0.989316193114767,0.98865040553605,0.9836031874504,0.982973762439417,0.980668779460018,0.979043394557054,0.976378330388432,0.971072647485045,0.97597788057405,0.974809394178405,0.973540969426517,0.973400634254128,0.967381286162326,0.972578226721066,0.967339905269016,0.975043705678264,0.974011470040208,0.974579871878483,0.974477000814692,0.96686964412963,0.975821807509097,0.976571491383951,0.977057867104597,0.977074066106685,0.973072262546315,0.975731011919955,0.959101122179927,0.967389823703387,0.969379293962993,0.953243688369427
19.0666666666667,0.995210432632442,0.993758172978991,0.9914888924536,0.988954717590734,0.984794217394349,0.981838814599845,0.980265387870041,0.978784653423963,0.976561803943761,0.974266201864977,0.971966780734285,0.971456077013768,0.970427727470292,0.969271875166937,0.967793801029689,0.967581756389956,0.967825973454895,0.966982835464987,0.968281449222614,0.967613375049798,0.967418889735112,0.966366582378189,0.966560829471404,0.966965705213727,0.966908990846243,0.967786912545483,0.966901221708414,0.965318425381816,0.960625015681903,0.952708656004373,0.954153047688157,0.953183865610864,0.954056214164534,0.99553333881367,0.994709667650531,0.992364630664925,0.988737490358615,0.988884766950411,0.983457196169934,0.982397415551356,0.980441018088339,0.979251196783844,0.976966315354067,0.971342375130702,0.975860650204237,0.97428055563429,0.973344669687794,0.973558556047602,0.96685827447861,0.972378373152164,0.967195044607147,0.974563291147712,0.973791310812272,0.974714562616562,0.975035193045596,0.96662490386316,0.975704800121971,0.9760919866167,0.976796577986112,0.977209908263178,0.973579227315894,0.975467709523132,0.959265329211859,0.966926071038363,0.969031630197726,0.953247069699488
