"SimTime","Bukit Panjang (To Expo)","Cashew (To Expo)","Hillview (To Expo)","Beauty World (To Expo)","King Albert Park (To Expo)","Sixth Avenue (To Expo)","Tan Kah Kee (To Expo)","Botanic Gardens (To Expo)","Stevens (To Expo)","Newton (To Expo)","Little India (To Expo)","Rochor (To Expo)","Bugis (To Expo)","Promenade (To Expo)","Bayfront (To Expo)","Downtown (To Expo)","Telok Ayer (To Expo)","Chinatown (To Expo)","Fort Canning (To Expo)","Bencoolen (To Expo)","Jalan Besar (To Expo)","Bendemeer (To Expo)","Geylang Bahru (To Expo)","Mattar (To Expo)","MacPherson (To Expo)","Ubi (To Expo)","Kaki Bukit (To Expo)","Bedok North (To Expo)","Bedok Reservoir (To Expo)","Tampines West (To Expo)","Tampines (To Expo)","Tampines East (To Expo)","Upper Changi (To Expo)","Expo (To Bukit Panjang)","Upper Changi (To Bukit Panjang)","Tampines East (To Bukit Panjang)","Tampines (To Bukit Panjang)","Tampines West (To Bukit Panjang)","Bedok Reservoir (To Bukit Panjang)","Bedok North (To Bukit Panjang)","Kaki Bukit (To Bukit Panjang)","Ubi (To Bukit Panjang)","MacPherson (To Bukit Panjang)","Mattar (To Bukit Panjang)","Geylang Bahru (To Bukit Panjang)","Bendemeer (To Bukit Panjang)","Jalan Besar (To Bukit Panjang)","Bencoolen (To Bukit Panjang)","Fort Canning (To Bukit Panjang)","Chinatown (To Bukit Panjang)","Telok Ayer (To Bukit Panjang)","Downtown (To Bukit Panjang)","Bayfront (To Bukit Panjang)","Promenade (To Bukit Panjang)","Bugis (To Bukit Panjang)","Rochor (To Bukit Panjang)","Little India (To Bukit Panjang)","Newton (To Bukit Panjang)","Stevens (To Bukit Panjang)","Botanic Gardens (To Bukit Panjang)","Tan Kah Kee (To Bukit Panjang)","Sixth Avenue (To Bukit Panjang)","King Albert Park (To Bukit Panjang)","Beauty World (To Bukit Panjang)","Hillview (To Bukit Panjang)","Cashew (To Bukit Panjang)"
10.55,0.992321812685246,0.988634664346657,0.983811401155219,0.976176518299579,0.970884513292191,0.964884736613358,0.960538680670913,0.956958288245878,0.953153900022867,0.950210144915726,0.944380827239091,0.943983304525646,0.941038081409194,0.938616845929922,0.937689384031974,0.935805864036796,0.935542860051972,0.934391394313447,0.935467887936602,0.934701131254502,0.935300275883731,0.934885998450735,0.934228508591541,0.934787036629096,0.933993138479427,0.936471949140523,0.938817097658755,0.948070876489512,0.96154784165667,0.978376009828736,0.985202702344616,0.9863417455613,0.986593465847962,0.99248673208519,0.990298034968013,0.986548639515963,0.978747639966509,0.978180832560046,0.967356117750191,0.965168172054911,0.96129924813598,0.957469660902429,0.955143463553534,0.943943214231083,0.951069044692489,0.949968178615938,0.948346844305263,0.947020382820015,0.935849189275593,0.947201871792209,0.934502598391481,0.950399933541962,0.949088441344208,0.949596421643842,0.950058045898378,0.934050889904887,0.951661806948896,0.953240383395443,0.955160867376207,0.960547321744435,0.972779991051608,1.02331219319005,1.01081370982498,1.05277508097315,1.05845671895868,0.987593477440015
10.5666666666667,0.991139732707358,0.989124672371767,0.983505858923716,0.977370098692916,0.971418631451638,0.965342951422036,0.961796321901209,0.957559698441666,0.952905729127387,0.949185603052103,0.944940233273185,0.944436309265347,0.942251452138403,0.939268632478644,0.937534665391125,0.934893732361517,0.936249972775787,0.934313706614366,0.9367348682025,0.935347400976903,0.935204397752534,0.93401495978448,0.933807450112941,0.935157483192164,0.935151395331579,0.937178367727336,0.938796503661145,0.94721365487378,0.961035648389756,0.978262524472257,0.984266877389643,0.985744747492902,0.986504189637468,0.991315310429093,0.990768760318359,0.986240000047349,0.977622520772901,0.978643110436355,0.96713148663334,0.964095003504889,0.9609064760711,0.957900046224181,0.956375117842221,0.944563383859373,0.950876961651105,0.948977340459025,0.947946911188844,0.947395062236234,0.934952521825916,0.946857647503657,0.93442527065766,0.949478676002512,0.948644664065231,0.949974724631205,0.951177837261468,0.93363576738585,0.951539128177413,0.952326706226098,0.95467140590214,0.960883408846826,0.973837438639287,1.02265057897536,1.01097754600582,1.05167871798396,1.05772232774851,0.987543681635408
10.5833333333333,0.992361042787999,0.988766452146386,0.983928475666654,0.97626799431601,0.97104223834566,0.965076164035443,0.9607680776997,0.957199556038287,0.953312518455763,0.950403262082133,0.944576780591395,0.944283969466837,0.941264577826855,0.938911563402278,0.937982992953447,0.936102889053896,0.935894733827126,0.934687193920536,0.935841724955929,0.93496291251318,0.935568866546634,0.93516765903193,0.934535562190396,0.935081568548445,0.934299781234404,0.936757706513209,0.939134303786287,0.948343622689183,0.961770321307213,0.978540420544968,0.985268740584379,0.986444345693847,0.986649887473158,0.992525857266894,0.990374292749618,0.986702227371229,0.97886082834318,0.978292088737535,0.967638505824407,0.965346989025308,0.961417473526789,0.957707320262092,0.955349312886111,0.944194935473627,0.951321186289541,0.950172197738965,0.948556177550214,0.947274744280853,0.936128102340465,0.947472528046361,0.934840923986615,0.950623311933889,0.94935495023163,0.949839167636121,0.950237253015178,0.9343716407246,0.951866559105933,0.953415870751805,0.955365670474188,0.96072985639338,0.972930694111685,1.02320247691501,1.01075532753184,1.05257516460422,1.05820281798708,0.987738862149878
10.6,0.991151691052778,0.98916908480077,0.983588298619379,0.977503656565421,0.971550296481646,0.96549241674601,0.961981868326367,0.957756348556913,0.953083328733338,0.949402118867485,0.945152277985961,0.944717309361519,0.942508932851031,0.939522934255318,0.937831542703787,0.935182008712172,0.93659249435387,0.934556777365443,0.937062440296802,0.935633029763035,0.935492561173206,0.934296261416964,0.934120902874472,0.935503877033313,0.935448082221001,0.937461593621204,0.939085417335021,0.947475611281545,0.961270089209684,0.978434600234494,0.984332526733613,0.985797057098325,0.986570518010008,0.991354804051934,0.990824813436897,0.986295780476406,0.977726700010949,0.978761704704891,0.967362338652625,0.964282375222071,0.961016502168865,0.958097929209308,0.956554510187819,0.944849460360094,0.95112232798014,0.949187735359043,0.948196579942017,0.947691693733087,0.935227399249215,0.947038162921253,0.934718124444819,0.949700230135034,0.948933449806775,0.950152486087575,0.951391028839145,0.933949791925373,0.951723615666554,0.952529435643284,0.95486695048312,0.960973286944604,0.973930604756444,1.02250659884763,1.01089194994448,1.05154152276899,1.05742260318299,0.987574897252569
10.6166666666667,0.992417302433137,0.988771380475932,0.983978909444251,0.976401027436792,0.971193162317789,0.96522158042614,0.960954355903832,0.957416961451352,0.953522533357941,0.950683137935007,0.944766127768681,0.94454630063644,0.941538462052703,0.939152359955137,0.938248089597453,0.936460996517832,0.936224560839866,0.934951985770935,0.936167419685129,0.935221077809957,0.935870112379519,0.935480830869293,0.93484355629767,0.935450929761446,0.93462707322874,0.937029624245194,0.939472323876209,0.948539945161073,0.961920945628547,0.978644344756528,0.985363973933964,0.986514680647393,0.986704018851218,0.992568538795241,0.990415521205101,0.986738229615765,0.9789945200728,0.978355925732243,0.96767736968005,0.965471692738098,0.961576827176325,0.95788673704473,0.9555755990865,0.944513889850309,0.951521829072814,0.950416618179042,0.948818639871304,0.947515034414939,0.936408210082114,0.94765868137798,0.935172460788615,0.950926130363154,0.949612568765722,0.950017280912595,0.950463332471321,0.934676660542945,0.952040328176688,0.953687513120397,0.955569830731986,0.960857967991097,0.973019884973453,1.02307637821113,1.0106981906479,1.05232139995592,1.05787407322661,0.987725211972641
10.6333333333333,0.991269918682003,0.989210662452999,0.983679905997739,0.977594998166048,0.971742835363546,0.965660086915041,0.962185856232483,0.957954870003671,0.95331179529096,0.949687877092207,0.945357497822184,0.944956580830431,0.942826212419882,0.939866636583618,0.938083097901793,0.935533261135435,0.936911922971018,0.934796283198834,0.937305422821461,0.935975562976275,0.935786392004375,0.934640672388361,0.934439444111254,0.935790385329279,0.935737115242917,0.9377200134528,0.93942442285539,0.947686542433941,0.961424671285883,0.978538042115714,0.984420947495462,0.985906742375308,0.98664032622135,0.991395333422474,0.990911819735269,0.986375883663971,0.977877588891387,0.978851626754096,0.967435516572938,0.964412101024711,0.961200086091134,0.958240670985223,0.956742281739069,0.945071341834786,0.951313373442364,0.949463355912538,0.948455373983545,0.947968908092078,0.935479646687023,0.947201420820267,0.935111796496958,0.949992671771857,0.949187266422907,0.950465155230843,0.951669142826793,0.934250368008123,0.951925977408188,0.952793346035332,0.955070962173171,0.961076047957888,0.974026558383487,1.02242674428388,1.01089482588392,1.05125430413219,1.05711209755685,0.987612335571669
